DATE TIME,BDM
2018-05-22,71.0
2018-05-23,71.0
2018-05-24,70.0
2018-05-25,54.0
2018-05-26,55.0
2018-05-27,68.0
2018-05-28,79.0
2018-05-29,85.0
2018-05-30,75.0
2018-05-31,64.0
2018-06-01,71.0
2018-06-02,86.0
2018-06-03,89.0
2018-06-04,87.0
2018-06-05,79.0
2018-06-06,75.0
2018-06-07,74.0
2018-06-08,79.0
2018-06-09,72.0
2018-06-10,70.0
2018-06-11,81.0
2018-06-12,86.0
2018-06-13,89.0
2018-06-14,84.0
2018-06-15,81.0
2018-06-16,77.0
2018-06-17,63.0
2018-06-18,74.0
2018-06-19,82.0
2018-06-20,88.0
2018-06-21,88.0
2018-06-22,88.0
2018-06-23,88.0
