,timestamp,action,price,size,regime,pnl,exit_reason
241,2024-09-26 14:00:00,SELL,227.17,,bull_high_vol,16249.999999999432,signal
242,2024-10-01 13:00:00,BUY,226.125,0.25,bear_high_vol,,
243,2024-10-02 13:00:00,SELL,223.38,,none,-68625.00000000012,time_exit
244,2024-10-03 16:00:00,BUY,223.82,0.25,bear_high_vol,,
245,2024-10-03 22:00:00,SELL,225.8,,none,49500.00000000045,signal
246,2024-10-04 13:00:00,BUY,225.1899,0.25,bear_high_vol,,
247,2024-10-04 15:00:00,SELL,225.53,,bull_high_vol,8502.500000000167,signal
248,2024-10-16 13:00:00,BUY,230.08,0.25,bear_high_vol,,
249,2024-10-16 23:00:00,SELL,231.3605,,none,32012.499999999734,signal
250,2024-10-17 13:00:00,BUY,231.72,0.25,bear_high_vol,,
251,2024-10-17 22:00:00,SELL,232.28,,none,14000.000000000056,signal
252,2024-10-22 13:00:00,BUY,233.16,0.25,bear_high_vol,,
253,2024-10-22 16:00:00,SELL,234.94,,bull_high_vol,44500.00000000003,signal
254,2024-10-23 15:00:00,BUY,231.56,0.25,bear_high_vol,,
255,2024-10-24 10:00:00,SELL,231.4,,bear_high_vol,-3999.9999999999145,signal
256,2024-10-24 13:00:00,BUY,229.82,0.25,bear_high_vol,,
257,2024-10-24 23:00:00,SELL,229.51,,none,-7750.000000000056,signal
258,2024-10-25 23:00:00,BUY,230.86,0.25,bull_high_vol,,
259,2024-10-28 08:00:00,SELL,233.04,,bull_high_vol,54499.99999999946,time_exit
260,2024-10-30 14:00:00,BUY,231.156,0.25,bear_high_vol,,
261,2024-10-31 14:00:00,SELL,227.71,,bear_high_vol,-86149.99999999994,time_exit
262,2024-10-31 15:00:00,BUY,227.055,0.25,bear_high_vol,,
263,2024-10-31 21:00:00,SELL,221.26,,bear_high_vol,-144875.0000000004,stop_loss
264,2024-10-31 23:00:00,BUY,221.71,0.25,bear_high_vol,,
265,2024-11-01 23:00:00,SELL,222.68,,none,24249.99999999997,time_exit
266,2024-11-11 14:00:00,BUY,222.9,0.25,bear_high_vol,,
267,2024-11-12 09:00:00,SELL,223.2,,bear_high_vol,7499.999999999573,signal
268,2024-11-15 14:00:00,BUY,225.07,0.25,bull_high_vol,,
269,2024-11-16 00:00:00,SELL,225.26,,none,4749.999999999944,signal
270,2024-11-21 21:00:00,BUY,228.36,0.25,bull_high_vol,,
271,2024-11-22 00:00:00,SELL,228.56,,none,4999.999999999716,signal
272,2024-12-09 10:00:00,BUY,242.76,0.25,bear_high_vol,,
273,2024-12-09 14:00:00,SELL,243.93,,bull_high_vol,29250.000000000397,signal
274,2024-12-12 12:00:00,BUY,246.64,0.25,bear_high_vol,,
275,2024-12-12 15:00:00,SELL,248.04,,bull_high_vol,35000.000000000146,signal
276,2024-12-13 17:00:00,BUY,246.58,0.25,bear_high_vol,,
277,2024-12-13 18:00:00,SELL,247.85,,bull_high_vol,31749.999999999545,signal
278,2024-12-18 21:00:00,BUY,246.95,0.25,bear_high_vol,,
279,2024-12-19 14:00:00,SELL,248.69,,bear_high_vol,43500.000000000226,signal
280,2024-12-27 14:00:00,BUY,256.6197,0.25,bear_high_vol,,
281,2024-12-30 09:00:00,SELL,254.4,,bear_high_vol,-55492.50000000044,time_exit
282,2024-12-30 13:00:00,BUY,252.29,0.25,bear_high_vol,,
