DATE TIME,NFR
2018-05-07,54.0
2018-05-08,56.0
2018-05-09,55.0
2018-05-10,54.0
2018-05-11,53.0
2018-05-12,45.0
2018-05-13,47.0
2018-05-14,48.0
2018-05-15,50.0
2018-05-16,45.0
2018-05-17,44.0
2018-05-18,50.0
2018-05-19,54.0
2018-05-20,52.0
2018-05-21,48.0
2018-05-22,52.0
2018-05-23,53.0
2018-05-24,53.0
2018-05-25,47.0
2018-05-26,43.0
2018-05-27,46.0
2018-05-28,53.0
2018-05-29,59.0
2018-05-30,54.0
2018-05-31,45.0
2018-06-01,46.0
2018-06-02,53.0
2018-06-03,60.0
2018-06-04,60.0
2018-06-05,57.0
2018-06-06,55.0
2018-06-07,52.0
2018-06-08,53.0
2018-06-09,51.0
2018-06-10,46.0
2018-06-11,51.0
2018-06-12,58.0
2018-06-13,62.0
2018-06-14,62.0
2018-06-15,60.0
2018-06-16,52.0
2018-06-17,45.0
2018-06-18,49.0
2018-06-19,56.0
2018-06-20,61.0
2018-06-21,62.0
2018-06-22,60.0
2018-06-23,63.0
